,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
214,6057,0.003,0.054000000000000006,0.084,0.177,0.682
215,6059,0.023,0.021,0.046,0.156,0.754
216,6061,0.012,0.023,0.07200000000000001,0.201,0.693
217,6063,0.063,0.067,0.053,0.146,0.6709999999999999
218,6065,0.026000000000000002,0.013999999999999999,0.040999999999999995,0.11599999999999999,0.8029999999999999
219,6067,0.025,0.027999999999999997,0.062,0.16399999999999998,0.722
220,6069,0.018000000000000002,0.004,0.063,0.175,0.7390000000000001
221,6071,0.027000000000000003,0.022000000000000002,0.048,0.134,0.768
222,6073,0.017,0.023,0.034,0.126,0.8
223,6075,0.017,0.011000000000000001,0.035,0.121,0.8170000000000001
224,6077,0.054000000000000006,0.019,0.081,0.165,0.68
225,6079,0.025,0.024,0.037000000000000005,0.16899999999999998,0.745
226,6081,0.016,0.013000000000000001,0.057999999999999996,0.126,0.7859999999999999
227,6083,0.015,0.02,0.075,0.153,0.737
228,6085,0.015,0.013999999999999999,0.04,0.168,0.764
229,6087,0.008,0.0,0.086,0.109,0.797
230,6089,0.095,0.055999999999999994,0.071,0.23199999999999998,0.547
231,6091,0.14,0.053,0.047,0.14300000000000002,0.617
232,6093,0.132,0.07400000000000001,0.08199999999999999,0.16699999999999998,0.546
233,6095,0.043,0.046,0.035,0.14800000000000002,0.728
234,6097,0.022000000000000002,0.012,0.022000000000000002,0.149,0.795
235,6099,0.032,0.027999999999999997,0.062,0.17300000000000001,0.705
236,6101,0.057999999999999996,0.031,0.08,0.163,0.669
237,6103,0.057,0.062,0.141,0.195,0.545
238,6105,0.081,0.07,0.055,0.201,0.5920000000000001
239,6107,0.025,0.039,0.115,0.136,0.685
240,6109,0.008,0.043,0.084,0.212,0.653
241,6111,0.024,0.011000000000000001,0.033,0.156,0.777
242,6113,0.006999999999999999,0.005,0.04,0.156,0.7909999999999999
243,6115,0.057,0.035,0.071,0.16699999999999998,0.669
244,8001,0.032,0.027000000000000003,0.071,0.185,0.685
245,8003,0.052000000000000005,0.133,0.094,0.228,0.493
246,8005,0.013000000000000001,0.026000000000000002,0.065,0.193,0.703
247,8007,0.040999999999999995,0.040999999999999995,0.155,0.276,0.488
248,8009,0.113,0.053,0.19399999999999998,0.20600000000000002,0.435
249,8011,0.033,0.036000000000000004,0.172,0.191,0.5670000000000001
250,8013,0.008,0.015,0.032,0.195,0.75
251,8014,0.018000000000000002,0.005,0.042,0.201,0.7340000000000001
252,8015,0.038,0.045,0.134,0.138,0.645
253,8017,0.016,0.187,0.106,0.39799999999999996,0.292
254,8019,0.002,0.015,0.138,0.12300000000000001,0.723
255,8021,0.06,0.106,0.09300000000000001,0.195,0.545
256,8023,0.034,0.07200000000000001,0.076,0.175,0.644
257,8025,0.002,0.034,0.08,0.294,0.59
258,8027,0.017,0.098,0.153,0.23399999999999999,0.498
259,8029,0.087,0.094,0.07400000000000001,0.295,0.45
260,8031,0.02,0.018000000000000002,0.062,0.19399999999999998,0.7070000000000001
261,8033,0.052000000000000005,0.039,0.066,0.252,0.591
262,8035,0.013000000000000001,0.040999999999999995,0.081,0.192,0.6729999999999999
263,8037,0.008,0.003,0.033,0.26899999999999996,0.687
264,8039,0.016,0.044000000000000004,0.19,0.24600000000000002,0.505
265,8041,0.031,0.08900000000000001,0.081,0.196,0.603
266,8043,0.006,0.069,0.062,0.2,0.6629999999999999
267,8045,0.065,0.04,0.037000000000000005,0.326,0.532
268,8047,0.001,0.027000000000000003,0.017,0.17,0.785
269,8049,0.006,0.002,0.05,0.187,0.754
270,8051,0.057,0.039,0.043,0.281,0.581
271,8053,0.043,0.05,0.11699999999999999,0.271,0.519
272,8055,0.027999999999999997,0.051,0.051,0.275,0.595
273,8057,0.021,0.027000000000000003,0.09,0.342,0.52
274,8059,0.027999999999999997,0.031,0.075,0.19399999999999998,0.6729999999999999
275,8061,0.027999999999999997,0.051,0.159,0.27,0.49200000000000005
276,8063,0.024,0.32299999999999995,0.11900000000000001,0.344,0.19
277,8065,0.002,0.016,0.036000000000000004,0.193,0.753
278,8067,0.043,0.02,0.122,0.27399999999999997,0.541
279,8069,0.013000000000000001,0.037000000000000005,0.06,0.231,0.659
280,8071,0.052000000000000005,0.03,0.10099999999999999,0.17,0.648
281,8073,0.013000000000000001,0.068,0.196,0.40299999999999997,0.321
282,8075,0.078,0.20199999999999999,0.10099999999999999,0.368,0.251
283,8077,0.075,0.105,0.098,0.222,0.499
284,8079,0.049,0.07200000000000001,0.138,0.264,0.478
285,8081,0.040999999999999995,0.142,0.162,0.284,0.371
286,8083,0.057,0.019,0.081,0.257,0.586
287,8085,0.085,0.092,0.07400000000000001,0.314,0.436
288,8087,0.083,0.161,0.11599999999999999,0.245,0.396
289,8089,0.004,0.047,0.102,0.19399999999999998,0.653
290,8091,0.06,0.08,0.069,0.295,0.495
291,8093,0.021,0.018000000000000002,0.10300000000000001,0.13699999999999998,0.722
292,8095,0.05,0.19,0.13699999999999998,0.255,0.368
293,8097,0.019,0.013999999999999999,0.016,0.318,0.633
294,8099,0.079,0.046,0.205,0.201,0.469
295,8101,0.018000000000000002,0.044000000000000004,0.07400000000000001,0.28,0.584
296,8103,0.111,0.092,0.07400000000000001,0.265,0.45799999999999996
297,8105,0.061,0.14400000000000002,0.11,0.242,0.444
298,8107,0.008,0.036000000000000004,0.092,0.375,0.489
299,8109,0.065,0.122,0.138,0.23199999999999998,0.44299999999999995
300,8111,0.032,0.038,0.09699999999999999,0.27,0.563
301,8113,0.043,0.057999999999999996,0.07400000000000001,0.26,0.565
302,8115,0.065,0.162,0.138,0.267,0.368
303,8117,0.0,0.001,0.064,0.151,0.784
304,8119,0.105,0.087,0.066,0.145,0.597
305,8121,0.077,0.20800000000000002,0.10099999999999999,0.303,0.31
306,8123,0.046,0.038,0.135,0.231,0.55
307,8125,0.038,0.284,0.133,0.255,0.29
308,9001,0.027000000000000003,0.019,0.06,0.114,0.78
309,9003,0.015,0.023,0.065,0.13,0.767
310,9005,0.017,0.051,0.021,0.098,0.812
311,9007,0.003,0.006999999999999999,0.055,0.128,0.807
312,9009,0.023,0.013999999999999999,0.053,0.115,0.795
