COUNTYFP,deaths_avg_per_100k,state,state_po,CTYNAME,party_winner_2020,totalvotes_2020,fractionalvotes_2020,party_winner_2016,totalvotes_2016,fractionalvotes_2016,changecolor,_merge,pct_increase,segmentname
20039,1.2128000000000003,KANSAS,KS,DECATUR,REPUBLICAN,1498.0,0.8411214953271028,REPUBLICAN,1452.0,0.8333333333333334,#970D03,both,0.7788161993769416,Stayed Republican
48107,1.2124439461883434,TEXAS,TX,CROSBY,REPUBLICAN,1953.0,0.7147977470558116,REPUBLICAN,1728.0,0.6834490740740741,#970D03,both,3.134867298173749,Stayed Republican
1065,1.2096696035242296,ALABAMA,AL,HALE,DEMOCRAT,7900.0,0.590253164556962,DEMOCRAT,8040.0,0.5939054726368159,#030D97,both,-0.365230807985395,Stayed Democrat
8111,1.2094004796163071,COLORADO,CO,SAN JUAN,DEMOCRAT,562.0,0.608540925266904,DEMOCRAT,506.0,0.5237154150197628,#030D97,both,8.482551024714112,Stayed Democrat
30085,1.2084731182795683,MONTANA,MT,ROOSEVELT,REPUBLICAN,4017.0,0.49688822504356484,REPUBLICAN,3652.0,0.4920591456736035,#970D03,both,0.4829079369961353,Stayed Republican
38063,1.2002073732718883,NORTH DAKOTA,ND,NELSON,REPUBLICAN,1777.0,0.6420934158694429,REPUBLICAN,1717.0,0.5969714618520675,#970D03,both,4.512195401737539,Stayed Republican
28023,1.1955043859649086,MISSISSIPPI,MS,CLARKE,REPUBLICAN,8338.0,0.6496761813384505,REPUBLICAN,7791.0,0.6593505326658965,#970D03,both,-0.9674351327445985,Stayed Republican
20137,1.1933175355450243,KANSAS,KS,NORTON,REPUBLICAN,2415.0,0.831055900621118,REPUBLICAN,2234.0,0.8236347358997315,#970D03,both,0.7421164721386542,Stayed Republican
27069,1.1842068965517238,MINNESOTA,MN,KITTSON,REPUBLICAN,2639.0,0.5858279651383099,REPUBLICAN,2385.0,0.5656184486373166,#970D03,both,2.020951650099334,Stayed Republican
48047,1.1812761020881648,TEXAS,TX,BROOKS,DEMOCRAT,2484.0,0.5917874396135265,DEMOCRAT,2596.0,0.7461479198767335,#030D97,both,-15.436048026320693,Stayed Democrat
20131,1.1733411764705868,KANSAS,KS,NEMAHA,REPUBLICAN,5684.0,0.8205489092188599,REPUBLICAN,5122.0,0.8051542366263178,#970D03,both,1.5394672592542125,Stayed Republican
48207,1.1687254901960777,TEXAS,TX,HASKELL,REPUBLICAN,2214.0,0.8310749774164409,REPUBLICAN,1770.0,0.7926553672316384,#970D03,both,3.8419610184802444,Stayed Republican
13283,1.1662863534675594,GEORGIA,GA,TREUTLEN,REPUBLICAN,3077.0,0.682807929801755,REPUBLICAN,2703.0,0.6692563817980022,#970D03,both,1.35515480037528,Stayed Republican
26013,1.1593363844393612,MICHIGAN,MI,BARAGA,REPUBLICAN,4038.0,0.6220901436354631,REPUBLICAN,3490.0,0.6183381088825215,#970D03,both,0.3752034752941613,Stayed Republican
47137,1.151186440677965,TENNESSEE,TN,PICKETT,REPUBLICAN,2931.0,0.8123507335380417,REPUBLICAN,2615.0,0.772848948374761,#970D03,both,3.9501785163280623,Stayed Republican
13299,1.1449019607843132,GEORGIA,GA,WARE,REPUBLICAN,14192.0,0.6951099210822999,REPUBLICAN,12184.0,0.6987032173342088,#970D03,both,-0.3593296251908962,Stayed Republican
13165,1.14160087719298,GEORGIA,GA,JENKINS,REPUBLICAN,3455.0,0.6254703328509407,REPUBLICAN,3056.0,0.6200916230366492,#970D03,both,0.5378709814291449,Stayed Republican
48115,1.1390549450549465,TEXAS,TX,DAWSON,REPUBLICAN,3789.0,0.7788334652942729,REPUBLICAN,3563.0,0.7398259893348302,#970D03,both,3.900747595944265,Stayed Republican
48327,1.1374324324324332,TEXAS,TX,MENARD,REPUBLICAN,1028.0,0.8005836575875487,REPUBLICAN,864.0,0.7893518518518519,#970D03,both,1.123180573569682,Stayed Republican
13281,1.136577777777778,GEORGIA,GA,TOWNS,REPUBLICAN,7979.0,0.800100263190876,REPUBLICAN,6764.0,0.7958308693081018,#970D03,both,0.4269393882774253,Stayed Republican
31135,1.1124269005847953,NEBRASKA,NE,PERKINS,REPUBLICAN,1544.0,0.8555699481865285,REPUBLICAN,1455.0,0.836426116838488,#970D03,both,1.914383134804054,Stayed Republican
12125,1.1100441501103744,FLORIDA,FL,UNION,REPUBLICAN,6245.0,0.821937550040032,REPUBLICAN,5694.0,0.8022479803301721,#970D03,both,1.968956970985991,Stayed Republican
48033,1.104043321299639,TEXAS,TX,BORDEN,REPUBLICAN,416.0,0.9543269230769231,REPUBLICAN,365.0,0.9041095890410958,#970D03,both,5.021733403582729,Stayed Republican
19085,1.1033121019108258,IOWA,IA,HARRISON,REPUBLICAN,8155.0,0.6842427958307786,REPUBLICAN,7465.0,0.6566644340254522,#970D03,both,2.757836180532647,Stayed Republican
35051,1.092476415094339,NEW MEXICO,NM,SIERRA,REPUBLICAN,5945.0,0.5957947855340623,REPUBLICAN,5181.0,0.5809689249179695,#970D03,both,1.4825860616092812,Stayed Republican
13091,1.091873638344226,GEORGIA,GA,DODGE,REPUBLICAN,8070.0,0.7240396530359355,REPUBLICAN,7009.0,0.7163646739905836,#970D03,both,0.7674979045351971,Stayed Republican
47095,1.0892954545454552,TENNESSEE,TN,LAKE,REPUBLICAN,2034.0,0.7335299901671584,REPUBLICAN,1970.0,0.6888324873096446,#970D03,both,4.469750285751372,Stayed Republican
38045,1.0882901554404125,NORTH DAKOTA,ND,LAMOURE,REPUBLICAN,2219.0,0.7413249211356467,REPUBLICAN,2151.0,0.6885169688516969,#970D03,both,5.280795228394986,Stayed Republican
29057,1.0876923076923064,MISSOURI,MO,DADE,REPUBLICAN,4119.0,0.8288419519300801,REPUBLICAN,3951.0,0.8058719311566692,#970D03,both,2.2970020773410926,Stayed Republican
13287,1.086616379310347,GEORGIA,GA,TURNER,REPUBLICAN,3792.0,0.6194620253164557,REPUBLICAN,3398.0,0.6165391406709829,#970D03,both,0.29228846454727453,Stayed Republican
48195,1.086233183856502,TEXAS,TX,HANSFORD,REPUBLICAN,2047.0,0.9032730825598436,REPUBLICAN,1947.0,0.8885464817668207,#970D03,both,1.4726600793022904,Stayed Republican
26131,1.0829329608938552,MICHIGAN,MI,ONTONAGON,REPUBLICAN,3804.0,0.6198738170347003,REPUBLICAN,3426.0,0.603035610040864,#970D03,both,1.6838206993836313,Stayed Republican
30005,1.081763005780345,MONTANA,MT,BLAINE,DEMOCRAT,3117.0,0.5097850497273019,REPUBLICAN,2684.0,0.47242921013412814,#11A3D6,both,3.735583959317373,To Democrat
19115,1.0804888888888893,IOWA,IA,LOUISA,REPUBLICAN,5332.0,0.6575393848462115,REPUBLICAN,5008.0,0.6128194888178914,#970D03,both,4.471989602832016,Stayed Republican
4017,1.0801070663811534,ARIZONA,AZ,NAVAJO,REPUBLICAN,51767.0,0.534259277145672,REPUBLICAN,40294.0,0.5106715640045665,#970D03,both,2.3587713141105526,Stayed Republican
13293,1.0775054704595186,GEORGIA,GA,UPSON,REPUBLICAN,12905.0,0.6670282836110035,REPUBLICAN,10934.0,0.6669105542344979,#970D03,both,0.011772937650567084,Stayed Republican
13167,1.074801762114539,GEORGIA,GA,JOHNSON,REPUBLICAN,4100.0,0.6951219512195121,REPUBLICAN,3686.0,0.6833966359196961,#970D03,both,1.172531529981602,Stayed Republican
13017,1.074,GEORGIA,GA,BEN HILL,REPUBLICAN,6560.0,0.6265243902439024,REPUBLICAN,5936.0,0.6298854447439353,#970D03,both,-0.33610545000328784,Stayed Republican
51678,1.0676666666666674,VIRGINIA,VA,LEXINGTON CITY,DEMOCRAT,2764.0,0.6479739507959479,DEMOCRAT,2465.0,0.6141987829614605,#030D97,both,3.377516783448742,Stayed Democrat
48333,1.0661633663366352,TEXAS,TX,MILLS,REPUBLICAN,2505.0,0.8850299401197604,REPUBLICAN,2245.0,0.8690423162583519,#970D03,both,1.5987623861408506,Stayed Republican
38043,1.0527415143603127,NORTH DAKOTA,ND,KIDDER,REPUBLICAN,1460.0,0.8321917808219178,REPUBLICAN,1376.0,0.8074127906976745,#970D03,both,2.477899012424334,Stayed Republican
30075,1.0522713864306787,MONTANA,MT,POWDER RIVER,REPUBLICAN,1136.0,0.8538732394366197,REPUBLICAN,1053.0,0.8395061728395061,#970D03,both,1.436706659711362,Stayed Republican
48189,1.0518082788671024,TEXAS,TX,HALE,REPUBLICAN,9586.0,0.748696015021907,REPUBLICAN,8858.0,0.7186723865432377,#970D03,both,3.002362847866924,Stayed Republican
31161,1.048989071038253,NEBRASKA,NE,SHERIDAN,REPUBLICAN,2672.0,0.8577844311377245,REPUBLICAN,2608.0,0.8477760736196319,#970D03,both,1.0008357518092592,Stayed Republican
46071,1.0489724310776933,SOUTH DAKOTA,SD,JACKSON,REPUBLICAN,1115.0,0.6618834080717488,REPUBLICAN,1095.0,0.6593607305936073,#970D03,both,0.25226774781414996,Stayed Republican
47027,1.0484513274336276,TENNESSEE,TN,CLAY,REPUBLICAN,3506.0,0.7795208214489446,REPUBLICAN,2920.0,0.7332191780821918,#970D03,both,4.63016433667528,Stayed Republican
20167,1.0464204545454534,KANSAS,KS,RUSSELL,REPUBLICAN,3467.0,0.8047303143928468,REPUBLICAN,3193.0,0.8061384278108362,#970D03,both,-0.14081134179894095,Stayed Republican
48275,1.0405829596412541,TEXAS,TX,KNOX,REPUBLICAN,1456.0,0.8104395604395604,REPUBLICAN,1367.0,0.7885881492318947,#970D03,both,2.185141120766576,Stayed Republican
1041,1.0344104803493468,ALABAMA,AL,CRENSHAW,REPUBLICAN,6617.0,0.7350763185733716,REPUBLICAN,6267.0,0.720121270145205,#970D03,both,1.495504842816664,Stayed Republican
48465,1.0233842794759838,TEXAS,TX,VAL VERDE,REPUBLICAN,15280.0,0.5421465968586388,DEMOCRAT,13617.0,0.5114195490930454,#AB5A68,both,3.072704776559332,To Republican
20171,1.0226457399103135,KANSAS,KS,SCOTT,REPUBLICAN,2354.0,0.8555649957519117,REPUBLICAN,2202.0,0.8469573115349682,#970D03,both,0.8607684216943468,Stayed Republican
46097,1.0189841986455972,SOUTH DAKOTA,SD,MINER,REPUBLICAN,1138.0,0.6915641476274165,REPUBLICAN,1064.0,0.6635338345864662,#970D03,both,2.803031304095027,Stayed Republican
48427,1.0167396061269205,TEXAS,TX,STARR,DEMOCRAT,17525.0,0.5205706134094151,DEMOCRAT,11740.0,0.7912265758091993,#030D97,both,-27.06559623997842,Stayed Democrat
48129,1.0149223946784938,TEXAS,TX,DONLEY,REPUBLICAN,1648.0,0.8725728155339806,REPUBLICAN,1465.0,0.8361774744027304,#970D03,both,3.6395341131250203,Stayed Republican
13279,1.0146069868995635,GEORGIA,GA,TOOMBS,REPUBLICAN,10914.0,0.7212754260582738,REPUBLICAN,9138.0,0.7239001969796455,#970D03,both,-0.26247709213716997,Stayed Republican
17175,1.0091460674157315,ILLINOIS,IL,STARK,REPUBLICAN,2883.0,0.6951092611862643,REPUBLICAN,2743.0,0.6481954064892453,#970D03,both,4.691385469701892,Stayed Republican
48101,1.007605633802818,TEXAS,TX,COTTLE,REPUBLICAN,662.0,0.8157099697885196,REPUBLICAN,612.0,0.826797385620915,#970D03,both,-1.1087415832395364,Stayed Republican
1027,1.0067973856209145,ALABAMA,AL,CLAY,REPUBLICAN,6930.0,0.8082251082251082,REPUBLICAN,6624.0,0.7918176328502415,#970D03,both,1.6407475374866642,Stayed Republican
17053,1.0043929359823416,ILLINOIS,IL,FORD,REPUBLICAN,6953.0,0.7260175463828563,REPUBLICAN,6396.0,0.7004377736085053,#970D03,both,2.5579772774350973,Stayed Republican
8011,1.0014527845036323,COLORADO,CO,BENT,REPUBLICAN,2274.0,0.6609498680738787,REPUBLICAN,1927.0,0.6165023352361183,#970D03,both,4.444753283776038,Stayed Republican
13163,0.9964096916299595,GEORGIA,GA,JEFFERSON,DEMOCRAT,7642.0,0.5314053912588328,DEMOCRAT,6968.0,0.5483639494833524,#030D97,both,-1.6958558224519638,Stayed Democrat
17045,0.9895685279187808,ILLINOIS,IL,EDGAR,REPUBLICAN,8196.0,0.7556124938994632,REPUBLICAN,7873.0,0.7170074939667217,#970D03,both,3.860499993274147,Stayed Republican
28031,0.9894078947368391,MISSISSIPPI,MS,COVINGTON,REPUBLICAN,9360.0,0.6254273504273504,REPUBLICAN,8811.0,0.616842583134718,#970D03,both,0.8584767292632467,Stayed Republican
4007,0.9887061403508762,ARIZONA,AZ,GILA,REPUBLICAN,27662.0,0.6643409731761984,REPUBLICAN,36697.0,0.3864621086192332,#970D03,both,27.787886455696526,Stayed Republican
1127,0.9886021505376361,ALABAMA,AL,WALKER,REPUBLICAN,31170.0,0.8341995508501765,REPUBLICAN,29472.0,0.82335776330076,#970D03,both,1.0841787549416448,Stayed Republican
22081,0.9884615384615377,LOUISIANA,LA,RED RIVER,REPUBLICAN,4132.0,0.5839787028073572,REPUBLICAN,4422.0,0.5407055630936228,#970D03,both,4.327313971373437,Stayed Republican
19141,0.9837028824833717,IOWA,IA,O'BRIEN,REPUBLICAN,7551.0,0.77751291219706,REPUBLICAN,7406.0,0.7766675668376991,#970D03,both,0.08453453593608717,Stayed Republican
28097,0.9832900432900418,MISSISSIPPI,MS,MONTGOMERY,REPUBLICAN,5075.0,0.5747783251231527,REPUBLICAN,4996.0,0.5640512409927942,#970D03,both,1.07270841303585,Stayed Republican
5077,0.981238938053099,ARKANSAS,AR,LEE,DEMOCRAT,2848.0,0.4996488764044944,DEMOCRAT,3026.0,0.5733641771315268,#030D97,both,-7.371530072703236,Stayed Democrat
48219,0.980991379310346,TEXAS,TX,HOCKLEY,REPUBLICAN,8100.0,0.8069135802469136,REPUBLICAN,7311.0,0.7945561482697305,#970D03,both,1.2357431977183087,Stayed Republican
48083,0.979714964370547,TEXAS,TX,COLEMAN,REPUBLICAN,4124.0,0.8828806983511154,REPUBLICAN,3643.0,0.872083447707933,#970D03,both,1.0797250643182377,Stayed Republican
28159,0.9795698924731182,MISSISSIPPI,MS,WINSTON,REPUBLICAN,9236.0,0.5534863577306193,REPUBLICAN,8881.0,0.552865668280599,#970D03,both,0.06206894500202509,Stayed Republican
